GEOID_FIN,federal_transfers_real_2017,POPULATION,ID_NAME,STATE_FIPS,COUNTY_FIPS,tax_revenue_real_2017,B_B01,B_B21,B_B30,B_B42,B_B46,B_B50,B_B59,B_B79,B_B80,B_B89,T_T01,T_T09,T_T10,T_T11,T_T13,T_T16,T_T19,T_T20,T_T21,T_T22,T_T27,T_T28,T_T29,YEAR,decade,federal_transfers_pc,tax_revenue_pc,log_transfers_pc,log_tax_pc
0259650,47000.0,91.0,PELICAN CITY,02,105,142000.0,,28000.0,19000.0,,,,,,,,58000.0,68000.0,,,,,15000.0,,,,,,1000.0,2017,2010,516.4835164835165,1560.4395604395604,6.2470433741753455,7.352722830066548
0260640,15000.0,65.0,PILOT POINT CITY,02,164,1022000.0,15000.0,,,,,,,,,,,,,,,,1022000.0,,,,,,,2017,2010,230.76923076923077,15723.076923076924,5.44141821018871,9.662884779850149
0261080,100000.0,64.0,PLATINUM CITY,02,050,33000.0,,100000.0,,,,,,,,,13000.0,19000.0,,,,,,,,,,,1000.0,2017,2010,1562.5,515.625,7.354042381610556,6.245379757088945
0263390,169000.0,98.0,PORT HEIDEN CITY,02,164,55000.0,,169000.0,,,,,,,,,22000.0,32000.0,,,,,,,,,,,1000.0,2017,2010,1724.4897959183672,561.2244897959183,7.452686515234639,6.330120985544036
0264600,103000.0,706.0,QUINHAGAK CITY,02,050,179000.0,,,103000.0,,,,,,,,,179000.0,,,,,,,,,,,,2017,2010,145.89235127478753,253.54107648725213,4.982869029718531,5.53552584732965
0265590,240000.0,165.0,RUBY CITY,02,290,78000.0,,240000.0,,,,,,,,,32000.0,45000.0,,,,,,,,,,,1000.0,2017,2010,1454.5454545454545,472.72727272727275,7.282448728423548,6.158518631771148
0265700,28000.0,339.0,RUSSIAN MISSION CITY,02,158,,,,28000.0,,,,,,,,,,,,,,,,,,,,,2017,2010,82.59587020648968,,4.413959681776891,
0266140,664000.0,550.0,SAINT MARYS CITY,02,158,303000.0,,664000.0,,,,,,,,,104000.0,153000.0,2000.0,,,40000.0,,4000.0,,,,,,2017,2010,1207.2727272727273,550.9090909090909,7.096119150232054,6.311569806264989
0267020,41000.0,1064.0,SAND POINT CITY,02,013,1326000.0,,,,41000.0,,,,,,,,725000.0,,,,,599000.0,,,,,2000.0,,2017,2010,38.53383458646616,1246.2406015037593,3.6515366757848553,7.127886779826355
0267460,90000.0,691.0,SAVOONGA CITY,02,180,115000.0,,,90000.0,,,,,,,,,115000.0,,,,,,,,,,,,2017,2010,130.24602026049203,166.42547033285095,4.8694251255447325,5.114547583577718
0267680,42000.0,515.0,SCAMMON BAY CITY,02,158,52000.0,,,42000.0,,,,,,,,,52000.0,,,,,,,,,,,,2017,2010,81.55339805825243,100.97087378640776,4.401257996601769,4.614832096899828
0268340,17000.0,277.0,SELDOVIA CITY,02,122,350000.0,,,,,,,,,,17000.0,217000.0,130000.0,,,,,,,,,,,3000.0,2017,2010,61.371841155234655,1263.537906137184,4.1169511168510144,7.141670927278258
0268560,3563000.0,2790.0,SEWARD CITY,02,122,6797000.0,,,,1277000.0,,,1976000.0,,,310000.0,1112000.0,5005000.0,,,,,605000.0,,,,1000.0,17000.0,57000.0,2017,2010,1277.0609318996417,2436.200716845878,7.1523165697725615,7.798195021513364
0268670,120000.0,83.0,SHAGELUK CITY,02,290,39000.0,,120000.0,,,,,,,,,16000.0,22000.0,,,,,,,,,,,1000.0,2017,2010,1445.7831325301204,469.87951807228916,7.276406413967585,6.152476317315186
0268890,35000.0,258.0,SHAKTOOLIK CITY,02,180,71000.0,,,35000.0,,,,,,,,,71000.0,,,,,,,,,,,,2017,2010,135.65891472868216,275.1937984496124,4.910143755549933,5.617475571101835
0269770,44000.0,580.0,SHISHMAREF CITY,02,180,64000.0,,,44000.0,,,,,,,,,64000.0,,,,,,,,,,,,2017,2010,75.86206896551724,110.34482758620689,4.328916809359933,4.703610258801344
0270100,407000.0,273.0,SHUNGNAK CITY,02,188,132000.0,,407000.0,,,,,,,,,54000.0,76000.0,,,,,,,,,,,2000.0,2017,2010,1490.8424908424909,483.5164835164835,7.3070966692397725,6.1810854063835485
0270540,1558000.0,8863.0,SITKA CITY AND BOROUGH,02,220,20229000.0,,264000.0,,,,,,,,1294000.0,6540000.0,11087000.0,,,,879000.0,1457000.0,,,,,1000.0,265000.0,2017,2010,175.78697957802098,2282.4100191808643,5.169272918674433,7.732987189646431
0271640,1503000.0,4544.0,SOLDOTNA CITY,02,122,7454000.0,1455000.0,,,,,,3000.0,,,45000.0,297000.0,7058000.0,,,,,,,,,,,99000.0,2017,2010,330.76584507042253,1640.4049295774648,5.801410708334124,7.402698398620354
0272960,42000.0,572.0,STEBBINS CITY,02,180,61000.0,,,42000.0,,,,,,,,,61000.0,,,,,,,,,,,,2017,2010,73.42657342657343,106.64335664335664,4.296285905885707,4.66949015177565
0275160,122000.0,244.0,TANANA CITY,02,290,56000.0,,122000.0,,,,,,,,,35000.0,21000.0,,,,,,,,,,,,2017,2010,500.0,229.50819672131146,6.214608098422191,5.435938744424084
0275930,172000.0,236.0,TELLER CITY,02,180,41000.0,,,172000.0,,,,,,,,,41000.0,,,,,,,,,,,,2017,2010,728.8135593220339,173.72881355932202,6.59141795076998,5.157495540660834
0276260,26000.0,133.0,TENAKEE SPRINGS CITY,02,105,19000.0,,,26000.0,,,,,,,,,12000.0,,,,,2000.0,,,,,,5000.0,2017,2010,195.48872180451127,142.85714285714286,5.275502688781866,4.961845129926823
0277690,105000.0,842.0,TOGIAK CITY,02,070,139000.0,,,105000.0,,,,,,,,,139000.0,,,,,,,,,,,,2017,2010,124.70308788598575,165.083135391924,4.825935614897333,5.106449197870502
0280770,82000.0,4491.0,UNALASKA CITY,02,016,22033000.0,,82000.0,,,,,,,,,6031000.0,11117000.0,,,,,4885000.0,,,,,,,2017,2010,18.258739701625473,4906.03429080383,2.9046438531586523,8.498221214358589
0281320,18000.0,222.0,UPPER KALSKAG CITY,02,050,,,,18000.0,,,,,,,,,,,,,,,,,,,,,2017,2010,81.08108108108108,,4.395449655006022,
0282200,11000.0,3870.0,VALDEZ CITY,02,063,44553000.0,,11000.0,,,,,,,,,44115000.0,,,,,,435000.0,,,,,,3000.0,2017,2010,2.842377260981912,11512.403100775195,1.04464076575668,9.351180263657364
